generation,release_date,artist,name,types,supertype,hp,evolvesFrom,evolvesTo,nationalPokedexNumbers,,,,,,,,,,,,,,,,,,,,,,,,,
First,1/9/1999,Ken Sugimori,Kadabra,['Psychic'],Pokémon,60,Abra,['Alakazam'],[64],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
First,1/9/1999,Keiji Kinebuchi,Kakuna,['Grass'],Pokémon,80,Weedle,['Beedrill'],[14],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,1/9/1999,Ken Sugimori,Machoke,['Fighting'],Pokémon,80,Machop,['Machamp'],[67],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
First,1/9/1999,Mitsuhiro Arita,Magikarp,['Water'],Pokémon,30,,['Gyarados'],[129],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
First,1/9/1999,Ken Sugimori,Magmar,['Fire'],Pokémon,50,,['Magmortar'],[126],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
First,1/9/1999,Mitsuhiro Arita,Nidorino,['Grass'],Pokémon,60,Nidoran ♂,['Nidoking'],[33],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,1/9/1999,Ken Sugimori,Poliwhirl,['Water'],Pokémon,60,Poliwag,"['Poliwrath', 'Politoed']",[61],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
First,1/9/1999,Tomoaki Imakuni,Porygon,['Colorless'],Pokémon,30,,['Porygon2'],[137],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,1/9/1999,Ken Sugimori,Raticate,['Colorless'],Pokémon,60,Rattata,,[20],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,1/9/1999,Ken Sugimori,Seel,['Water'],Pokémon,60,,['Dewgong'],[86],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
First,1/9/1999,Ken Sugimori,Wartortle,['Water'],Pokémon,70,Squirtle,['Blastoise'],[8],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
First,1/9/1999,Mitsuhiro Arita,Abra,['Psychic'],Pokémon,30,,['Kadabra'],[63],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
First,1/9/1999,Mitsuhiro Arita,Bulbasaur,['Grass'],Pokémon,40,,['Ivysaur'],[1],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,1/9/1999,Ken Sugimori,Caterpie,['Grass'],Pokémon,40,,['Metapod'],[10],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,1/9/1999,Mitsuhiro Arita,Charmander,['Fire'],Pokémon,50,,['Charmeleon'],[4],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
First,1/9/1999,Keiji Kinebuchi,Diglett,['Fighting'],Pokémon,30,,['Dugtrio'],[50],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
First,1/9/1999,Mitsuhiro Arita,Doduo,['Colorless'],Pokémon,50,,['Dodrio'],[84],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,1/9/1999,Ken Sugimori,Drowzee,['Psychic'],Pokémon,50,,['Hypno'],[96],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
First,1/9/1999,Keiji Kinebuchi,Gastly,['Psychic'],Pokémon,30,,['Haunter'],[92],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
First,1/9/1999,Mitsuhiro Arita,Koffing,['Grass'],Pokémon,50,,['Weezing'],[109],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,1/9/1999,Mitsuhiro Arita,Machop,['Fighting'],Pokémon,50,,['Machoke'],[66],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
First,1/9/1999,Keiji Kinebuchi,Magnemite,['Lightning'],Pokémon,40,,['Magneton'],[81],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
First,1/9/1999,Ken Sugimori,Metapod,['Grass'],Pokémon,70,Caterpie,['Butterfree'],[11],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,1/9/1999,Ken Sugimori,Nidoran ♂,['Grass'],Pokémon,40,,['Nidorino'],[32],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,1/9/1999,Ken Sugimori,Onix,['Fighting'],Pokémon,90,,['Steelix'],[95],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
First,1/9/1999,Ken Sugimori,Pidgey,['Colorless'],Pokémon,40,,['Pidgeotto'],[16],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,1/9/1999,Mitsuhiro Arita,Pikachu,['Lightning'],Pokémon,40,,['Raichu'],[25],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
First,1/9/1999,Ken Sugimori,Poliwag,['Water'],Pokémon,40,,['Poliwhirl'],[60],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
First,1/9/1999,Ken Sugimori,Ponyta,['Fire'],Pokémon,40,,['Rapidash'],[77],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
First,1/9/1999,Mitsuhiro Arita,Rattata,['Colorless'],Pokémon,30,,['Raticate'],[19],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,1/9/1999,Ken Sugimori,Sandshrew,['Fighting'],Pokémon,40,,['Sandslash'],[27],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
First,1/9/1999,Mitsuhiro Arita,Squirtle,['Water'],Pokémon,40,,['Wartortle'],[7],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
First,1/9/1999,Keiji Kinebuchi,Starmie,['Water'],Pokémon,60,Staryu,,[121],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
First,1/9/1999,Keiji Kinebuchi,Staryu,['Water'],Pokémon,40,,['Starmie'],[120],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
First,1/9/1999,Mitsuhiro Arita,Tangela,['Grass'],Pokémon,50,,['Tangrowth'],[114],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,1/9/1999,Keiji Kinebuchi,Voltorb,['Lightning'],Pokémon,40,,['Electrode'],[100],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
First,1/9/1999,Ken Sugimori,Vulpix,['Fire'],Pokémon,50,,['Ninetales'],[37],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
First,1/9/1999,Mitsuhiro Arita,Weedle,['Grass'],Pokémon,40,,['Kakuna'],[13],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,1/9/1999,Keiji Kinebuchi,Clefairy Doll,,Trainer,10,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Computer Search,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Devolution Spray,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Ken Sugimori,Impostor Professor Oak,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Item Finder,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Ken Sugimori,Lass,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Ken Sugimori,Pokémon Breeder,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Ken Sugimori,Pokémon Trader,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Scoop Up,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Super Energy Removal,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Defender,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Energy Retrieval,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Full Heal,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Maintenance,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,PlusPower,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Pokémon Center,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Pokémon Flute,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Pokédex,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Ken Sugimori,Professor Oak,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Revive,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Super Potion,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Ken Sugimori,Bill,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Energy Removal,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Gust of Wind,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Potion,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Switch,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Double Colorless Energy,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Fighting Energy,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Fire Energy,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Grass Energy,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Lightning Energy,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Psychic Energy,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,1/9/1999,Keiji Kinebuchi,Water Energy,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,6/16/1999,Mitsuhiro Arita,Clefable,['Colorless'],Pokémon,70,Clefairy,,[36],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Mitsuhiro Arita,Electrode,['Lightning'],Pokémon,90,Voltorb,,[101],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
First,6/16/1999,Kagemaru Himeno,Flareon,['Fire'],Pokémon,70,Eevee,,[136],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
First,6/16/1999,Kagemaru Himeno,Jolteon,['Lightning'],Pokémon,70,Eevee,,[135],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
First,6/16/1999,Mitsuhiro Arita,Kangaskhan,['Colorless'],Pokémon,90,,,[115],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Ken Sugimori,Mr. Mime,['Psychic'],Pokémon,40,Mime Jr.,,[122],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
First,6/16/1999,Ken Sugimori,Nidoqueen,['Grass'],Pokémon,90,Nidorina,,[31],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Kagemaru Himeno,Pidgeot,['Colorless'],Pokémon,80,Pidgeotto,,[18],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Kagemaru Himeno,Pinsir,['Grass'],Pokémon,60,,,[127],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Ken Sugimori,Scyther,['Grass'],Pokémon,70,,['Scizor'],[123],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Ken Sugimori,Snorlax,['Colorless'],Pokémon,90,Munchlax,,[143],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Kagemaru Himeno,Vaporeon,['Water'],Pokémon,80,Eevee,,[134],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
First,6/16/1999,Ken Sugimori,Venomoth,['Grass'],Pokémon,70,Venonat,,[49],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Ken Sugimori,Victreebel,['Grass'],Pokémon,80,Weepinbell,,[71],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Keiji Kinebuchi,Vileplume,['Grass'],Pokémon,80,Gloom,,[45],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Mitsuhiro Arita,Wigglytuff,['Colorless'],Pokémon,80,Jigglypuff,,[40],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Mitsuhiro Arita,Clefable,['Colorless'],Pokémon,70,Clefairy,,[36],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Mitsuhiro Arita,Electrode,['Lightning'],Pokémon,90,Voltorb,,[101],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
First,6/16/1999,Kagemaru Himeno,Flareon,['Fire'],Pokémon,70,Eevee,,[136],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
First,6/16/1999,Kagemaru Himeno,Jolteon,['Lightning'],Pokémon,70,Eevee,,[135],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
First,6/16/1999,Mitsuhiro Arita,Kangaskhan,['Colorless'],Pokémon,90,,,[115],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Ken Sugimori,Mr. Mime,['Psychic'],Pokémon,40,Mime Jr.,,[122],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
First,6/16/1999,Ken Sugimori,Nidoqueen,['Grass'],Pokémon,90,Nidorina,,[31],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Kagemaru Himeno,Pidgeot,['Colorless'],Pokémon,80,Pidgeotto,,[18],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Kagemaru Himeno,Pinsir,['Grass'],Pokémon,60,,,[127],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Ken Sugimori,Scyther,['Grass'],Pokémon,70,,['Scizor'],[123],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Ken Sugimori,Snorlax,['Colorless'],Pokémon,90,Munchlax,,[143],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Kagemaru Himeno,Vaporeon,['Water'],Pokémon,80,Eevee,,[134],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
First,6/16/1999,Ken Sugimori,Venomoth,['Grass'],Pokémon,70,Venonat,,[49],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Ken Sugimori,Victreebel,['Grass'],Pokémon,80,Weepinbell,,[71],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Keiji Kinebuchi,Vileplume,['Grass'],Pokémon,80,Gloom,,[45],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Mitsuhiro Arita,Wigglytuff,['Colorless'],Pokémon,80,Jigglypuff,,[40],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Kagemaru Himeno,Butterfree,['Grass'],Pokémon,70,Metapod,,[12],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Mitsuhiro Arita,Dodrio,['Colorless'],Pokémon,70,Doduo,,[85],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Kagemaru Himeno,Exeggutor,['Grass'],Pokémon,80,Exeggcute,,[103],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Mitsuhiro Arita,Fearow,['Colorless'],Pokémon,70,Spearow,,[22],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Keiji Kinebuchi,Gloom,['Grass'],Pokémon,60,Oddish,"['Vileplume', 'Bellossom']",[44],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Mitsuhiro Arita,Lickitung,['Colorless'],Pokémon,90,,['Lickilicky'],[108],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Mitsuhiro Arita,Marowak,['Fighting'],Pokémon,60,Cubone,,[105],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
First,6/16/1999,Ken Sugimori,Nidorina,['Grass'],Pokémon,70,Nidoran ♀,['Nidoqueen'],[30],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Ken Sugimori,Parasect,['Grass'],Pokémon,60,Paras,,[47],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Kagemaru Himeno,Persian,['Colorless'],Pokémon,70,Meowth,,[53],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Kagemaru Himeno,Primeape,['Fighting'],Pokémon,70,Mankey,,[57],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
First,6/16/1999,Mitsuhiro Arita,Rapidash,['Fire'],Pokémon,70,Ponyta,,[78],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
First,6/16/1999,Kagemaru Himeno,Rhydon,['Fighting'],Pokémon,100,Rhyhorn,['Rhyperior'],[112],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
First,6/16/1999,Kagemaru Himeno,Seaking,['Water'],Pokémon,70,Goldeen,,[119],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
First,6/16/1999,Kagemaru Himeno,Tauros,['Colorless'],Pokémon,60,,,[128],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Kagemaru Himeno,Weepinbell,['Grass'],Pokémon,70,Bellsprout,['Victreebel'],[70],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Kagemaru Himeno,Bellsprout,['Grass'],Pokémon,40,,['Weepinbell'],[69],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Mitsuhiro Arita,Cubone,['Fighting'],Pokémon,40,,['Marowak'],[104],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
First,6/16/1999,Kagemaru Himeno,Eevee,['Colorless'],Pokémon,50,,"['Vaporeon', 'Jolteon', 'Flareon', 'Sylveon', 'Espeon', 'Umbreon', 'Leafeon', 'Glaceon']",[133],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Mitsuhiro Arita,Exeggcute,['Grass'],Pokémon,50,,['Exeggutor'],[102],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Kagemaru Himeno,Goldeen,['Water'],Pokémon,40,,['Seaking'],[118],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
First,6/16/1999,Kagemaru Himeno,Jigglypuff,['Colorless'],Pokémon,60,,['Wigglytuff'],[39],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Kagemaru Himeno,Mankey,['Fighting'],Pokémon,30,,['Primeape'],[56],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
First,6/16/1999,Mitsuhiro Arita,Meowth,['Colorless'],Pokémon,50,,['Persian'],[52],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Ken Sugimori,Nidoran ♀,['Grass'],Pokémon,60,,['Nidorina'],[29],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Keiji Kinebuchi,Oddish,['Grass'],Pokémon,50,,['Gloom'],[43],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Ken Sugimori,Paras,['Grass'],Pokémon,40,,['Parasect'],[46],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Ken Sugimori,Pikachu,['Lightning'],Pokémon,50,Pichu,['Raichu'],[25],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
First,6/16/1999,Mitsuhiro Arita,Rhyhorn,['Fighting'],Pokémon,70,,['Rhydon'],[111],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
First,6/16/1999,Mitsuhiro Arita,Spearow,['Colorless'],Pokémon,50,,['Fearow'],[21],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,6/16/1999,Mitsuhiro Arita,Venonat,['Grass'],Pokémon,40,,['Venomoth'],[48],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
First,6/16/1999,Keiji Kinebuchi,Poké Ball,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
First,7/1/1999,Keiji Kinebuchi,Pikachu,['Lightning'],Pokémon,60,,['Raichu'],[25],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
First,7/1/1999,Ken Sugimori,Electabuzz,['Lightning'],Pokémon,60,,['Electivire'],[125],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
First,7/1/1999,Ken Sugimori,Mewtwo,['Psychic'],Pokémon,70,,,[150],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
First,7/1/1999,Ken Sugimori,Pikachu,['Lightning'],Pokémon,50,,['Raichu'],[25],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
First,7/1/1999,Toshinao Aoki,Dragonite,['Colorless'],Pokémon,90,Dragonair,,[149],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,7/1/1999,Ken Sugimori,Arcanine,['Fire'],Pokémon,70,Growlithe,,[59],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
First,7/1/1999,Keiji Kinebuchi,Jigglypuff,['Colorless'],Pokémon,50,,['Wigglytuff'],[39],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,7/1/1999,Ken Sugimori,Mew,['Psychic'],Pokémon,50,,,[151],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
First,7/1/1999,Ken Sugimori,Mew,['Psychic'],Pokémon,50,,,[151],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
First,7/1/1999,Kagemaru Himeno,Meowth,['Colorless'],Pokémon,50,,['Persian'],[52],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
First,7/1/1999,Kagemaru Himeno,Eevee,['Colorless'],Pokémon,30,,"['Vaporeon', 'Jolteon', 'Flareon', 'Sylveon', 'Espeon', 'Umbreon', 'Leafeon', 'Glaceon']",[133],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
